"","Average number susceptibles"
"Beta_0.2",38.319129464502
"Beta_0.199",38.3379985068811
"Beta_0.198",38.356813385729
"Beta_0.197",38.3755714392668
"Beta_0.196",38.3942704523097
"Beta_0.195",38.4129080852333
"Beta_0.194",38.4314819306173
"Beta_0.193",38.449989762789
"Beta_0.192",38.4684290889466
"Beta_0.191",38.4867977878347
"Beta_0.19",38.5050941429046
"Beta_0.189",38.5233161105897
"Beta_0.188",38.54146087764
"Beta_0.187",38.5595295729084
"Beta_0.186",38.5775171927144
"Beta_0.185",38.5954211183202
"Beta_0.184",38.613239317107
"Beta_0.183",38.6309717705883
"Beta_0.182",38.6486168534364
"Beta_0.181",38.6661727460562
"Beta_0.18",38.6836378339014
"Beta_0.179",38.7010099221344
"Beta_0.178",38.7182875393431
"Beta_0.177",38.7354691992044
"Beta_0.176",38.7525536372622
"Beta_0.175",38.7695394617447
"Beta_0.174",38.786425391163
"Beta_0.173",38.803210033715
"Beta_0.172",38.8198921969133
"Beta_0.171",38.8364705885165
"Beta_0.17",38.8529447402554
"Beta_0.169",38.8693134930264
"Beta_0.168",38.8855759129592
"Beta_0.167",38.9017303274637
"Beta_0.166",38.9177763570456
"Beta_0.165",38.933713041815
"Beta_0.164",38.9495403788034
"Beta_0.163",38.9652571507252
"Beta_0.162",38.9808627472702
"Beta_0.161",38.996355325407
"Beta_0.16",39.011737609771
"Beta_0.159",39.0270093131033
"Beta_0.158",39.0421684250371
"Beta_0.157",39.0572142412231
"Beta_0.156",39.0721464504782
"Beta_0.155",39.0869665617414
"Beta_0.154",39.1016733871607
"Beta_0.153",39.1162604295128
"Beta_0.152",39.1307374650535
"Beta_0.151",39.1451030212978
"Beta_0.15",39.1593508146711
"Beta_0.149",39.1734877117514
"Beta_0.148",39.1875112107371
"Beta_0.147",39.2014223435144
"Beta_0.146",39.215220820993
"Beta_0.145",39.2289061803876
"Beta_0.144",39.2424804762564
"Beta_0.143",39.2559435218165
"Beta_0.142",39.2692980791979
"Beta_0.141",39.2825401688219
"Beta_0.14",39.295671044492
"Beta_0.139",39.3086957605206
"Beta_0.138",39.321608614126
"Beta_0.137",39.3344186515656
"Beta_0.136",39.3471183006114
"Beta_0.135",39.3597107694314
"Beta_0.134",39.3722009497981
"Beta_0.133",39.3845854353997
"Beta_0.132",39.396867032315
"Beta_0.131",39.4090451319751
"Beta_0.13",39.4211207422616
"Beta_0.129",39.4330960959925
"Beta_0.128",39.4449718688577
"Beta_0.127",39.4567492773607
"Beta_0.126",39.4684286543356
"Beta_0.125",39.4800127566964
"Beta_0.124",39.4915015299304
"Beta_0.123",39.5028972148075
"Beta_0.122",39.5142030378772
"Beta_0.121",39.5254137152859
"Beta_0.12",39.5365365796534
"Beta_0.119",39.5475705076653
"Beta_0.118",39.5585201017336
"Beta_0.117",39.5693836235491
"Beta_0.116",39.5801646132087
"Beta_0.115",39.5908652731831
"Beta_0.114",39.6014858000458
"Beta_0.113",39.6120308623178
"Beta_0.112",39.6225041786861
"Beta_0.111",39.6329059739351
"Beta_0.11",39.6432405382335
"Beta_0.109",39.6535120089171
"Beta_0.108",39.6637274777307
"Beta_0.107",39.6738878205516
"Beta_0.106",39.6840018479026
"Beta_0.105",39.6940767725563
"Beta_0.104",39.7041220089564
"Beta_0.103",39.7141459098914
"Beta_0.102",39.7241618818514
"Beta_0.101",39.7341846629105
"Beta_0.1",39.7442321829418
"Beta_0.099",39.7543251755128
"Beta_0.098",39.7644887694253
"Beta_0.097",39.7747531537178
"Beta_0.096",39.7851543207067
"Beta_0.095",39.7957352367043
"Beta_0.094",39.8065470564862
"Beta_0.093",39.8176511033961
"Beta_0.092",39.8291206495264
"Beta_0.091",39.841041276577
"Beta_0.09",39.8535159119103
"Beta_0.089",39.8666660584004
"Beta_0.088",39.8806364308222
"Beta_0.087",39.8955967707578
"Beta_0.086",39.9117487704379
"Beta_0.085",39.9293282376397
"Beta_0.084",39.9486130985294
"Beta_0.083",39.9699277668078
"Beta_0.082",39.9936539730978
"Beta_0.081",40.0202371457763
"Beta_0.08",40.0501959915321
"Beta_0.079",40.0841317128188
"Beta_0.078",40.1227441493491
"Beta_0.077",40.1668439179703
"Beta_0.076",40.2173661303831
"Beta_0.075",40.275387462835
"Beta_0.074",40.3421451362803
"Beta_0.073",40.4190548822848
"Beta_0.072",40.507730287656
"Beta_0.071",40.6100063797217
"Beta_0.07",40.7279635756806
"Beta_0.069",40.863953628504
"Beta_0.068",41.0205884973803
"Beta_0.067",41.2008111875926
"Beta_0.066",41.4078682259485
"Beta_0.065",41.6453327970659
"Beta_0.064",41.9171073568933
"Beta_0.063",42.2273962758089
"Beta_0.062",42.5806967051435
"Beta_0.061",42.981738365304
"Beta_0.06",43.4354048366809
"Beta_0.059",43.9466263162632
"Beta_0.058",44.520353952238
"Beta_0.057",45.1611585331157
"Beta_0.056",45.8732675460791
"Beta_0.055",46.6602062997858
"Beta_0.054",47.5245583935386
"Beta_0.053",48.4676908252495
"Beta_0.052",49.4894784241386
"Beta_0.051",50.5880345310906
"Beta_0.05",51.75956853819
"Beta_0.049",52.99817875082
"Beta_0.048",54.2958760555674
"Beta_0.047",55.6427484494719
"Beta_0.046",57.0271661479707
"Beta_0.045",58.4362388721114
"Beta_0.044",59.8563658778576
"Beta_0.043",61.2739198347729
"Beta_0.042",62.6760099109947
"Beta_0.041",64.0512944077341
"Beta_0.04",65.3907825616814
"Beta_0.039",66.6886255983051
"Beta_0.038",67.9428838728534
"Beta_0.037",69.1561734429869
"Beta_0.036",70.3363203696278
"Beta_0.035",71.4968990834467
"Beta_0.034",72.6576501124962
"Beta_0.033",73.844679818494
"Beta_0.032",75.0902631634052
"Beta_0.031",76.4319039505443
"Beta_0.03",77.9103201718306
"Beta_0.029",79.5658371956051
"Beta_0.028",81.432871018585
"Beta_0.027",83.5326073391842
"Beta_0.026",85.8646520577844
"Beta_0.025",88.3998096978132
"Beta_0.024",91.0767183742947
"Beta_0.023",93.8049917592405
"Beta_0.022",96.4758394995017
"Beta_0.021",98.97804527414
"Beta_0.02",101.214922412078
"Beta_0.019",103.116974162762
"Beta_0.018",104.647440224912
"Beta_0.017",105.800592160799
"Beta_0.016",106.595147360002
"Beta_0.015",107.06576708547
"Beta_0.014",107.255064137717
"Beta_0.013",107.207541533985
"Beta_0.012",106.965443600631
"Beta_0.011",106.566611703642
"Beta_0.01",106.043595470685
"Beta_0.009",105.423604296518
"Beta_0.008",104.728926347634
"Beta_0.007",103.97757211756
"Beta_0.006",103.183949815716
"Beta_0.005",102.359511779912
"Beta_0.004",101.513315233575
"Beta_0.003",100.652506419618
"Beta_0.002",99.7827127114846
"Beta_0.001",98.908364722436
